GMT-03:00,Altura Preenchida,Altura Prevista,Battery(v),Filtro Fraco Pressure_S1,Filtro Medio Pressure_S1,Flag_Battery(v),Flag_GMT-03:00,Flag_Pressure_S1,Pressure_S1,Resíduo,Tipo_de_Filtro,Flag_origem,Altura Final,datetime_utc
2025-09-23 21:55:00,0.765,0.366,4.147540983606557,0.765,0.679,0.0,0.0,0.0,0.765,0.399,Filtro Fraco Pressure_S1,Dado medido,0.765,2025-09-23 21:55:00
2025-09-23 22:00:00,0.75,0.359,4.144535519125683,0.75,0.678,0.0,0.0,0.0,0.75,0.391,Filtro Fraco Pressure_S1,Dado medido,0.75,2025-09-23 22:00:00
2025-09-23 22:05:00,0.734,0.354,4.146038251366121,0.734,0.676,0.0,0.0,0.0,0.737,0.38,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.734,2025-09-23 22:05:00
2025-09-23 22:10:00,0.72,0.349,4.149043715846995,0.72,0.676,0.0,0.0,0.0,0.723,0.371,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.72,2025-09-23 22:10:00
2025-09-23 22:15:00,0.706,0.345,4.149043715846995,0.706,0.675,0.0,0.0,0.0,0.708,0.361,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.706,2025-09-23 22:15:00
2025-09-23 22:20:00,0.694,0.342,4.150546448087432,0.694,0.674,0.0,0.0,0.0,0.698,0.3519999999999999,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.694,2025-09-23 22:20:00
2025-09-23 22:25:00,0.683,0.34,4.150546448087432,0.683,0.674,0.0,0.0,0.0,0.68,0.343,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.683,2025-09-23 22:25:00
2025-09-23 22:30:00,0.674,0.337,4.149043715846995,0.674,0.674,0.0,0.0,0.0,0.665,0.337,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.674,2025-09-23 22:30:00
2025-09-23 22:35:00,0.666,0.336,4.147540983606557,0.666,0.675,0.0,0.0,0.0,0.665,0.33,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.666,2025-09-23 22:35:00
2025-09-23 22:40:00,0.661,0.334,4.149043715846995,0.661,0.675,0.0,0.0,0.0,0.66,0.327,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.661,2025-09-23 22:40:00
2025-09-23 22:45:00,0.657,0.333,4.149043715846995,0.657,0.676,0.0,0.0,0.0,0.659,0.324,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.657,2025-09-23 22:45:00
2025-09-23 22:50:00,0.655,0.332,4.150546448087432,0.655,0.678,0.0,0.0,0.0,0.657,0.323,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.655,2025-09-23 22:50:00
2025-09-23 22:55:00,0.655,0.332,4.147540983606557,0.655,0.679,0.0,0.0,0.0,0.661,0.323,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.655,2025-09-23 22:55:00
2025-09-23 23:00:00,0.656,0.331,4.149043715846995,0.656,0.681,0.0,0.0,0.0,0.659,0.325,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.656,2025-09-23 23:00:00
2025-09-23 23:05:00,0.659,0.33,4.149043715846995,0.659,0.683,0.0,0.0,0.0,0.65,0.329,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.659,2025-09-23 23:05:00
2025-09-23 23:10:00,0.663,0.329,4.147540983606557,0.663,0.686,0.0,0.0,0.0,0.664,0.334,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.663,2025-09-23 23:10:00
2025-09-23 23:15:00,0.667,0.328,4.147540983606557,0.667,0.689,0.0,0.0,0.0,0.668,0.339,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.667,2025-09-23 23:15:00
2025-09-23 23:20:00,0.672,0.326,4.146038251366121,0.672,0.692,0.0,0.0,0.0,0.674,0.34600000000000003,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.672,2025-09-23 23:20:00
2025-09-23 23:25:00,0.677,0.325,4.146038251366121,0.677,0.695,0.0,0.0,0.0,0.678,0.35200000000000004,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.678,2025-09-23 23:25:00
2025-09-23 23:30:00,0.683,0.323,4.146038251366121,0.683,0.699,0.0,0.0,0.0,0.681,0.36000000000000004,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.683,2025-09-23 23:30:00
2025-09-23 23:35:00,0.688,0.32,4.146038251366121,0.688,0.703,0.0,0.0,0.0,0.686,0.36799999999999994,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.688,2025-09-23 23:35:00
2025-09-23 23:40:00,0.692,0.317,4.144535519125683,0.692,0.708,0.0,0.0,0.0,0.69,0.37499999999999994,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.692,2025-09-23 23:40:00
2025-09-23 23:45:00,0.696,0.313,4.144535519125683,0.696,0.713,0.0,0.0,0.0,0.697,0.38299999999999995,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.696,2025-09-23 23:45:00
2025-09-23 23:50:00,0.699,0.309,4.146038251366121,0.699,0.718,0.0,0.0,0.0,0.698,0.38999999999999996,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.699,2025-09-23 23:50:00
2025-09-23 23:55:00,0.701,0.305,4.144535519125683,0.701,0.724,0.0,0.0,0.0,0.704,0.39599999999999996,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.7,2025-09-23 23:55:00
2025-09-24 00:00:00,0.702,0.299,4.144535519125683,0.702,0.73,0.0,0.0,0.0,0.701,0.40299999999999997,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.701,2025-09-24 00:00:00
2025-09-24 00:05:00,0.702,0.294,4.144535519125683,0.702,0.736,0.0,0.0,0.0,0.706,0.408,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.701,2025-09-24 00:05:00
2025-09-24 00:10:00,0.701,0.287,4.144535519125683,0.701,0.742,0.0,0.0,0.0,0.703,0.414,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.7,2025-09-24 00:10:00
2025-09-24 00:15:00,0.7,0.281,4.144535519125683,0.7,0.749,0.0,0.0,0.0,0.703,0.41899999999999993,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.699,2025-09-24 00:15:00
2025-09-24 00:20:00,0.698,0.273,4.144535519125683,0.698,0.757,0.0,0.0,0.0,0.699,0.42499999999999993,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.698,2025-09-24 00:20:00
2025-09-24 00:25:00,0.697,0.265,4.143032786885247,0.697,0.764,0.0,0.0,0.0,0.696,0.43199999999999994,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.697,2025-09-24 00:25:00
2025-09-24 00:30:00,0.696,0.257,4.143032786885247,0.696,0.772,0.0,0.0,0.0,0.701,0.43899999999999995,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.696,2025-09-24 00:30:00
2025-09-24 00:35:00,0.695,0.248,4.1400273224043715,0.695,0.781,0.0,0.0,0.0,0.691,0.44699999999999995,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.696,2025-09-24 00:35:00
2025-09-24 00:40:00,0.696,0.239,4.141530054644809,0.696,0.789,0.0,0.0,0.0,0.691,0.45699999999999996,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.698,2025-09-24 00:40:00
2025-09-24 00:45:00,0.698,0.23,4.1400273224043715,0.698,0.798,0.0,0.0,0.0,0.692,0.46799999999999997,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.7,2025-09-24 00:45:00
2025-09-24 00:50:00,0.702,0.22,4.1400273224043715,0.702,0.808,0.0,0.0,0.0,0.702,0.482,Filtro Fraco Pressure_S1,Dado medido,0.703,2025-09-24 00:50:00
2025-09-24 00:55:00,0.706,0.211,4.135519125683061,0.706,0.817,0.0,0.0,0.0,0.706,0.495,Filtro Fraco Pressure_S1,Dado medido,0.707,2025-09-24 00:55:00
2025-09-24 01:00:00,0.711,0.201,4.141530054644809,0.711,0.827,0.0,0.0,0.0,0.707,0.51,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.711,2025-09-24 01:00:00
2025-09-24 01:05:00,0.716,0.192,4.138524590163935,0.716,0.838,0.0,0.0,0.0,0.715,0.524,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.716,2025-09-24 01:05:00
2025-09-24 01:10:00,0.721,0.183,4.138524590163935,0.721,0.848,0.0,0.0,0.0,0.728,0.538,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.721,2025-09-24 01:10:00
2025-09-24 01:15:00,0.726,0.174,4.138524590163935,0.726,0.859,0.0,0.0,0.0,0.732,0.552,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.725,2025-09-24 01:15:00
2025-09-24 01:20:00,0.73,0.165,4.1400273224043715,0.73,0.87,0.0,0.0,0.0,0.728,0.565,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.729,2025-09-24 01:20:00
2025-09-24 01:25:00,0.732,0.157,4.135519125683061,0.732,0.882,0.0,0.0,0.0,0.738,0.575,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.731,2025-09-24 01:25:00
2025-09-24 01:30:00,0.734,0.15,4.138524590163935,0.734,0.893,0.0,0.0,0.0,0.731,0.584,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.733,2025-09-24 01:30:00
2025-09-24 01:35:00,0.733,0.143,4.134016393442623,0.733,0.905,0.0,0.0,0.0,0.736,0.59,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.733,2025-09-24 01:35:00
